date,asset,value,quality,size,future_return
2023-01-02,ALFA,0.067067,0.614037,19.443975,-0.00241477
2023-01-03,ALFA,0.359417,0.534725,17.775048,0.00729334
2023-01-04,ALFA,0.155242,0.66471,17.691628,-0.00608504
2023-01-05,ALFA,0.130522,0.520992,19.14388,0.00369063
2023-01-06,ALFA,0.104127,0.474369,19.072201,0.00548128
2023-01-09,ALFA,0.180142,0.502802,17.390038,0.00535205
2023-01-10,ALFA,0.10275,0.712446,19.441393,0.00086672
2023-01-11,ALFA,0.404347,0.535517,18.911081,-0.01074364
2023-01-12,ALFA,0.139135,0.583034,18.828747,-0.00529611
2023-01-13,ALFA,-0.009247,0.59678,19.436618,-0.00498001
2023-01-16,ALFA,0.533221,0.400965,18.273735,-0.0003907
2023-01-17,ALFA,0.11113,0.618326,19.30207,0.00543341
2023-01-18,ALFA,0.230085,0.516562,19.270815,0.0024937
2023-01-19,ALFA,0.199066,0.621359,19.244026,0.00189761
2023-01-20,ALFA,0.341613,0.292529,19.037642,-0.00036173
2023-01-23,ALFA,0.219108,0.48795,19.05913,-0.00010755
2023-01-24,ALFA,0.172679,0.439698,19.001186,0.00401226
2023-01-25,ALFA,0.239122,0.490724,19.026528,0.00429978
2023-01-26,ALFA,0.237866,0.633455,18.398401,0.00112891
2023-01-27,ALFA,0.193257,0.52561,18.722943,0.00405486
2023-01-30,ALFA,0.313382,0.438756,17.79099,0.00259605
2023-01-31,ALFA,0.091285,0.714639,18.493495,0.00027875
2023-02-01,ALFA,0.255485,0.440979,18.407289,0.00502508
2023-02-02,ALFA,0.2544,0.695599,19.356686,0.00076389
2023-02-03,ALFA,0.22243,0.455431,18.141062,-0.00432281
2023-02-06,ALFA,0.200293,0.761066,18.562515,-0.00774819
2023-02-07,ALFA,0.085651,0.751437,17.853876,0.00390014
2023-02-08,ALFA,0.28202,0.510173,18.666375,0.00151512
2023-02-09,ALFA,0.296795,0.466192,17.818741,0.00012214
2023-02-10,ALFA,0.186221,0.568655,19.148967,0.0052841
2023-02-13,ALFA,0.035031,0.555867,19.201851,0.00432914
2023-02-14,ALFA,0.245219,0.461721,17.418895,0.00626383
2023-02-15,ALFA,-0.003883,0.647652,18.116151,-0.0033571
2023-02-16,ALFA,0.069142,0.606652,19.351,0.00530296
2023-02-17,ALFA,0.027016,0.722884,18.739979,0.01571339
2023-02-20,ALFA,0.317458,0.341619,17.209085,0.00259002
2023-02-21,ALFA,0.199768,0.530812,18.55698,0.00299559
2023-02-22,ALFA,0.191882,0.587467,19.106087,0.00507945
2023-02-23,ALFA,-0.082849,0.787325,19.194887,-0.00496473
2023-02-24,ALFA,0.349103,0.551423,17.68377,-0.00185968
2023-02-27,ALFA,0.10217,0.611856,19.286858,0.0050049
2023-02-28,ALFA,0.34712,0.477356,19.284304,0.00174839
2023-03-01,ALFA,0.35327,0.554118,17.804195,-0.00536913
2023-03-02,ALFA,0.37116,0.537455,17.136932,0.00252138
2023-03-03,ALFA,0.165794,0.48281,19.115807,0.00417129
2023-03-06,ALFA,0.102854,0.529408,18.19798,-0.00058177
2023-03-07,ALFA,0.188553,0.398043,19.408008,-0.00189745
2023-03-08,ALFA,0.346734,0.427952,19.448323,0.00540142
